ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
A1.1,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,30.94989014,23.6021347,Negative ,0,0,NA,NA,NA,1,,0.004041085,0.026650012
A1.2,Bb,1,Coinfection,Rv-Bd,rv,bd,26/05/2018,MORT,Positive,37.30877304,0.495031029,Positive ,24.75440979,246200.6875,Positive ,33.46543503,357.7630615,0,NA,NA,NA
A1.3,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,32.19300842,11.08399868,Negative ,0,0,NA,NA,NA,1,,0.479822159,0.005265172
A1.4,Bb,1,Coinfection,Rv-Bd,rv,bd,27/05/2018,MORT,Positive,36.65140915,0.73700285,Positive ,22.90013885,683775.875,Positive ,31.07019806,1496.916504,0,NA,NA,NA
A1.5,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,31.30802536,18.99750137,Negative ,0,0,NA,NA,NA,1,,0.002390919,0
A1.6,Bb,1,Coinfection,Rv-Bd,rv,bd,04/06/2018,MORT,Positive,31.87982178,13.40060425,Positive ,26.93018723,74052.95313,Positive ,34.55871582,182.4617615,1,,0.007462085,3.369523048
A1.7,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,31.69301987,14.94764805,Negative ,0,0,NA,NA,NA,1,,0,0.001693409
A1.8,Bb,1,Coinfection,Rv-Bd,rv,bd,02/06/2018,MORT,Positive,34.15028381,3.36520052,Positive ,26.86987686,75968.92188,Positive ,35.38493729,115.3741913,NA,NA,NA,NA
A1.9,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,30.14384842,38.65125275,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.10,Bb,1,Coinfection,Rv-Bd,rv,bd,21/05/2018,MORT,Positive,39.77640533,0.113310777,Positive ,36.74454498,298.7419128,Positive ,35.22857666,118.3807907,NA,NA,NA,NA
A1.11,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,32.77532578,7.752777576,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.12,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,34.2467804,3.230875731,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.13,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,32.87454987,7.307030678,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.14,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,32.05519867,11.99657917,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.15,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,33.42121887,5.235106468,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.16,Bb,1,Coinfection,Rv-Bd,rv,bd,30/05/2018,MORT,Positive,34.53736496,2.660252094,Positive ,21.84478188,1236122.5,Positive ,29.3133049,4293.998047,NA,NA,NA,NA
A1.17,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,30.55527878,29.98496056,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
A1.18,Bb,1,Coinfection,Rv-Bd,rv,bd,21/05/2018,MORT,Negative ,0,0,Positive ,46.3653183,1.416279554,Positive ,33.59130096,352.0994263,NA,NA,NA,NA
A1.19,Bb,1,Coinfection,Rv-Bd,rv,bd,06/06/2018,EU,Positive,37.31768036,0.499219179,Negative ,0,0,NA,NA,NA,NA,NA,NA,NA
