"ID","Species","ExperimentNo","Scenario","Treatment","Exposure.1","Exposure.2","endpoint.date","endpoint.code","Bd.endpoint.status","Bd.endpoint.CTmean","Bd.endpoint.Qmean","Rv.MCPendpoint.status","Rv.MCPendpoint.CTmean","Rv.MCPendpoint.Qmean","Rv.EBF3Nendpoint.status","Rv.EBF3Nendpoint.CTmean","Rv.EBF3Nendpoint.Qmean","EMA.YN","EMA.date","EMA.GE.EMA","EMA.GE.WS","Bd.endpoint.GE","viable.GE","dead.GE","Rv.endpoint.load"
"A1.1","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,30.94989014,23.6021347,0,0,0,0,NA,NA,1,"",0.004041085,0.026650012,236.021347,0.004041085,0.022608927,NA
"A1.2","Bb","1","Coinfection","Rv-Bd","rv","bd","26/05/2018","MORT",1,37.30877304,0.495031029,1,24.75440979,246200.6875,1,33.46543503,357.7630615,0,NA,NA,NA,4.95031029,NA,NA,1376.3337470769
"A1.3","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,32.19300842,11.08399868,0,0,0,0,NA,NA,1,"",0.479822159,0.005265172,110.8399868,0.479822159,-0.474556987,NA
"A1.4","Bb","1","Coinfection","Rv-Bd","rv","bd","27/05/2018","MORT",1,36.65140915,0.73700285,1,22.90013885,683775.875,1,31.07019806,1496.916504,0,NA,NA,NA,7.3700285,NA,NA,913.579178495048
"A1.5","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,31.30802536,18.99750137,0,0,0,0,NA,NA,1,"",0.002390919,0,189.9750137,0.002390919,-0.002390919,NA
"A1.6","Bb","1","Coinfection","Rv-Bd","rv","bd","04/06/2018","MORT",1,31.87982178,13.40060425,1,26.93018723,74052.95313,1,34.55871582,182.4617615,1,"",0.007462085,3.369523048,134.0060425,0.007462085,3.362060963,811.709286605786
"A1.7","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,31.69301987,14.94764805,0,0,0,0,NA,NA,1,"",0,0.001693409,149.4764805,0,0.001693409,NA
"A1.8","Bb","1","Coinfection","Rv-Bd","rv","bd","02/06/2018","MORT",1,34.15028381,3.36520052,1,26.86987686,75968.92188,1,35.38493729,115.3741913,NA,NA,NA,NA,33.6520052,NA,NA,1316.91361861793
"A1.9","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,30.14384842,38.65125275,0,0,0,0,NA,NA,NA,NA,NA,NA,386.5125275,NA,NA,NA
"A1.10","Bb","1","Coinfection","Rv-Bd","rv","bd","21/05/2018","MORT",1,39.77640533,0.113310777,1,36.74454498,298.7419128,1,35.22857666,118.3807907,NA,NA,NA,NA,1.13310777,NA,NA,5.04713494534887
"A1.11","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,32.77532578,7.752777576,0,0,0,0,NA,NA,NA,NA,NA,NA,77.52777576,NA,NA,NA
"A1.12","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,34.2467804,3.230875731,0,0,0,0,NA,NA,NA,NA,NA,NA,32.30875731,NA,NA,NA
"A1.13","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,32.87454987,7.307030678,0,0,0,0,NA,NA,NA,NA,NA,NA,73.07030678,NA,NA,NA
"A1.14","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,32.05519867,11.99657917,0,0,0,0,NA,NA,NA,NA,NA,NA,119.9657917,NA,NA,NA
"A1.15","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,33.42121887,5.235106468,0,0,0,0,NA,NA,NA,NA,NA,NA,52.35106468,NA,NA,NA
"A1.16","Bb","1","Coinfection","Rv-Bd","rv","bd","30/05/2018","MORT",1,34.53736496,2.660252094,1,21.84478188,1236122.5,1,29.3133049,4293.998047,NA,NA,NA,NA,26.60252094,NA,NA,575.744323341561
"A1.17","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,30.55527878,29.98496056,0,0,0,0,NA,NA,NA,NA,NA,NA,299.8496056,NA,NA,NA
"A1.18","Bb","1","Coinfection","Rv-Bd","rv","bd","21/05/2018","MORT",0,0,0,1,46.3653183,1.416279554,1,33.59130096,352.0994263,NA,NA,NA,NA,0,NA,NA,0.00804477058587016
"A1.19","Bb","1","Coinfection","Rv-Bd","rv","bd","06/06/2018","EU",1,37.31768036,0.499219179,0,0,0,0,NA,NA,NA,NA,NA,NA,4.99219179,NA,NA,NA
